CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA
90;CN;70807;D;29;0;;138.451;0.82654;0.21537;Rosa;124;
61;CN;70642;E;6;0;;126.021;0.28507;0.12507;Branco;133;
90;CN;70807;D;29;0;;138.451;0.82654;0.21537;Amarelo;122;
88;CN;70807;D;29;0;;138.451;0.82654;0.21537;Azul;121;
19;CH;70810;E;24;0;;367.867;0.21719;0.3165;Amarelo;118;
2;CH;73764;D;23;0;;0.34715;0.36053;0.02354;Azul;117;
17;CH;70810;E;24;0;;367.867;0.21719;0.3165;Rosa;120;
4;CH;73883;D;20;0;;274.724;0.17677;0.13645;Branco;134;
154;MT;70813;B;6;0;;326.787;0.84794;0.13879;Cinza;136;
4;CH;75632;B;30;0;;254.487;0.97652;0.12278;Branco;119;
61;CN;70820;C;15;0;;228.412;140.218;0.12359;Azul;121;
62;CN;70820;C;15;0;;228.412;140.218;0.12359;Amarelo;122;
62;CN;70820;C;15;0;;228.412;140.218;0.12359;Rosa;124;
61;CN;73227;B;27;0;;106.261;175.071;0.13927;Branco;123;
62;CN;70253;A;6;0;;252.119;133.878;0.11338;Branco;123;
49;CN;70828;D;12;0;;0.68497;0.57856;0.04935;Rosa;124;
51;CN;70828;D;12;0;;0.68497;0.57856;0.04935;Azul;121;
51;CN;70828;D;12;0;;0.68497;0.57856;0.04935;Amarelo;122;
41;CH;70836;B;5;0;;113.678;-0.62198;0.14589;Rosa;120;
5;CH;72862;E;1;0;;0.98535;129.165;0.21403;Branco;134;
3;CH;71745;E;13;0;;1.981;0.29799;0.14845;Azul;117;
41;CH;70836;B;5;0;;113.678;-0.62198;0.14589;Amarelo;118;
62;CN;72528;A;18;0;;254.705;201.488;0.12485;Branco;133;
72;CN;70904;E;30;0;;221.866;0.02999;0.23994;Rosa;124;
73;CN;70904;E;30;0;;221.866;0.02999;0.23994;Amarelo;122;
69;CN;70904;E;30;0;;221.866;0.02999;0.23994;Azul;121;
63;CN;70433;C;21;0;;289.783;0.65233;0.1128;Branco;123;
79;CN;70933;B;8;0;;197.356;0.37435;0.16375;Rosa;124;
63;CN;72671;A;14;0;;0.89672;0.49681;0.06815;Branco;133;
75;CN;70933;B;8;0;;197.356;0.37435;0.16375;Amarelo;122;
79;CN;70933;B;8;0;;197.356;0.37435;0.16375;Azul;121;
119;LC;70943;B;19;0;;369.471;0.75472;0.17644;Rosa;128;
116;LC;70943;B;19;0;;369.471;0.75472;0.17644;Amarelo;125;
96;LC;76000;D;30;0;;199.641;0.50613;0.26926;Cinza;126;
121;LC;70943;B;19;0;;369.471;0.75472;0.17644;Azul;127;
64;CN;72346;B;19;0;;0.88285;297.203;0.17322;Branco;133;
34;CH;70963;D;3;0;;272.822;0.06651;0.23511;Amarelo;118;
5;CH;73785;E;6;0;;253.827;111.917;0.18589;Branco;119;
4;CH;75632;B;30;0;;254.487;0.97652;0.12278;Azul;117;
37;CH;70963;D;3;0;;272.822;0.06651;0.23511;Rosa;120;
6;CH;73690;C;18;0;;293.542;137.299;0.13042;Branco;119;
5;CH;73690;C;18;0;;293.542;137.299;0.13042;Azul;117;
6;CH;73722;B;19;0;;1.943;0.5045;0.14544;Branco;134;
39;CH;70979;D;11;0;;305.032;0.78062;0.23071;Rosa;120;
38;CH;70979;D;11;0;;305.032;0.78062;0.23071;Amarelo;118;
7;CH;71139;E;26;0;;179.484;0.39595;0.44445;Branco;119;
31;CH;71065;C;1;0;;0.91576;0.60622;0.06534;Rosa;120;
26;CH;71065;C;1;0;;0.91576;0.60622;0.06534;Amarelo;118;
6;CH;73785;E;6;0;;253.827;111.917;0.18589;Azul;117;
180;MT;71071;B;15;0;;227.001;109.949;0.1938;Cinza;136;
166;MT;71077;B;24;0;;168.055;189.888;0.19921;Cinza;136;
7;CH;75481;B;11;0;;114.429;-0.31581;0.03355;Branco;134;
167;MT;71127;C;29;0;;206.737;189.008;0.24604;Amarelo;129;
155;MT;70432;D;4;0;;220.311;21.416;0.179;Cinza;130;
